"NAZEV";"CU_HNO3";"PB_HNO3";"ZN_HNO3"
"Hlavni misto Praha";2,98971420122842;3,82559327742976;3,82187945557518
"Hlavni misto Praha";2,58399755243223;3,31890213893532;3,84716443307965
"Hlavni misto Praha";3,70622809244855;4,04305126783455;3,84801767545223
"Hlavni misto Praha";2,89591193827178;3,29953372788566;3,86283276123737
"Hlavni misto Praha";3,12236492448735;3,2188758248682;3,86283276123737
"Hlavni misto Praha";2,82731362192902;3,29583686600433;3,86890671435452
"Hlavni misto Praha";3,65065824129374;3,74714836223791;3,86911550441687
"Hlavni misto Praha";3,69137633431252;4,32015123095579;3,86911550441687
"Hlavni misto Praha";2,83026783382645;3,49892887015549;3,88115134176106
"Hlavni misto Praha";3,51452606696916;3,76120011569356;3,88567903008854
"Hlavni misto Praha";3,29212628660779;3,68637632389582;3,92395157629342
"Hlavni misto Praha";3,10906095886099;3,6988297849671;4,07584109065754
"Hlavni misto Praha";3,57794789340665;3,45315712059287;4,0926765051214
"Hlavni misto Praha";3,18221184049661;3,53514535417189;4,09600984154116
"Hlavni misto Praha";2,74855214441153;3,52075661671979;4,09817056705563
"Hlavni misto Praha";3,54673968695281;3,26956893918372;4,28220629939167
"Hlavni misto Praha";2,94759189822605;3,9431340004532;4,32915314506681
"Hlavni misto Praha";2,79361608943186;4,16619999932253;4,3388581392725
"Hlavni misto Praha";2,9274534328007;4,03865565636151;4,36322600521016
"Hlavni misto Praha";3,17722014959937;3,62220532084594;4,43236322156272
"Hlavni misto Praha";3,22485789654574;3,65532267058509;4,49546692089613
"Hlavni misto Praha";3,85967652505594;3,62300670996323;4,50964998413068
"Hlavni misto Praha";2,78501124223833;2,92316158071916;4,52936847257181
"Ceske Budijovice";1,02961941718116;2,42480272571829;1,75785791755237
"Ceske Budijovice";1,38629436111989;2,27212588550934;1,90210752639692
"Ceske Budijovice";0,916290731874155;2,57261223020711;1,91692261218206
"Ceske Budijovice";1,20297230399235;2,21920348405499;1,96009478404727
"Ceske Budijovice";1,60743590976343;2,4423470353692;1,96009478404727
"Ceske Budijovice";1,18172719537862;2,3887627892351;1,96571277635149
"Ceske Budijovice";1,09861228866811;2,17475172148416;1,98787434815435
"Ceske Budijovice";1,54756250871601;2,04122032885964;2,00148000021012
"Ceske Budijovice";1,58923520511658;1,84054963339749;2,01490302054226
"Ceske Budijovice";1,43508452528932;1,79175946922805;2,04122032885964
"Ceske Budijovice";1,22377543162212;2,4423470353692;2,06686275947298
"Ceske Budijovice";0,916290731874155;1,7404661748405;2,09186406167839
"Ceske Budijovice";1,58923520511658;2,31253542384721;2,09186406167839
"Ceske Budijovice";1,68639895357023;2,04122032885964;2,09186406167839
"Ceske Budijovice";2,01490302054226;2,2082744135228;2,09186406167839
"Ceske Budijovice";0,587786664902119;2,8154087194227;2,12465388450138
"Ceske Budijovice";0,587786664902119;2,8154087194227;2,12465388450138
"Ceske Budijovice";1,19392246847243;1,93152141160321;2,12823170584927
"Ceske Budijovice";1,66770682055808;1,93152141160321;2,12823170584927
"Ceske Budijovice";2,01490302054226;2,24070968927596;2,12823170584927
"Ceske Budijovice";1,82454929205105;2,24070968927596;2,14006616349627
"Ceske Budijovice";1,79175946922805;2,17475172148416;2,15176220325946
"Ceske Budijovice";1,41342302850814;2,5014359517392;2,15640258281596
"Ceske Budijovice";1,88706964903238;2,19722457733622;2,16332302566054
"Ceske Budijovice";1,30833281965018;2,5014359517392;2,17475172148416
"Ceske Budijovice";1,56861591791385;1,93152141160321;2,17475172148416
"Ceske Budijovice";1,84054963339749;2,14006616349627;2,17475172148416
"Ceske Budijovice";2,02814824729229;2,21920348405499;2,17475172148416
"Ceske Budijovice";0,916290731874155;2,2512917986065;2,18605127673809
"Ceske Budijovice";1,7404661748405;2,10413415427021;2,18605127673809
"Ceske Budijovice";1,84054963339749;3,55534806148941;2,18605127673809
"Ceske Budijovice";1,60341984010854;2,27212588550934;2,20386912005489
"Ceske Budijovice";1,56861591791385;2,10413415427021;2,2082744135228
"Ceske Budijovice";1,93152141160321;2,50959926237837;2,2082744135228
"Ceske Budijovice";1,28093384546206;2,34180580614733;2,24070968927596
"Ceske Budijovice";1,52605630349505;1,90210752639692;2,24070968927596
